Name,Division ID,Event,Adjusted Total,rank,Quaich Tour Points
Bronagh Murray,FA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,141.0,34.0,16
Tobi Bialecki,MA3,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,142.0,35.0,13
Aobh Sharvin,FA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,147.0,36.0,11
Corey Hanna,FA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,152.0,37.0,8
Richard Thompson,MA3,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,193.0,38.0,6
Leannae Dowey,FA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,213.0,39.0,3
Sean Henry,MA3,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,1998.0,40.0,1
Charlie O'Brien,MPO,Scottish National Championships,164.0,1.0,120
Joe O'Brien,MPO,Scottish National Championships,182.0,2.0,117
Ben Preston,MPO,Scottish National Championships,183.0,3.0,115
Pete Dawson,MPO,Scottish National Championships,185.0,4.0,112
Michael Sharkey,MPO,Scottish National Championships,186.0,5.0,111
Chris Flyin’ O'Brien,MPO,Scottish National Championships,188.0,6.0,109
Rick Rick,MPO,Scottish National Championships,192.0,7.0,106
John Bruce,MPO,Scottish National Championships,192.0,7.0,106
Rachel Turton,FPO,Scottish National Championships,192.0,7.0,106
Ewan Penman,MA1,Scottish National Championships,194.0,10.0,100
Ben Heywood,MP40,Scottish National Championships,195.0,11.0,98
Ross MacSporran,MA1,Scottish National Championships,196.0,12.0,97
Graham McGill,MA40,Scottish National Championships,200.0,13.0,94
Paul Hodgson,MA40,Scottish National Championships,201.0,14.0,92
Andrew Finlay,MA40,Scottish National Championships,204.0,15.0,91
Martin Hill,MA1,Scottish National Championships,205.0,16.0,88
Patrick McCauley,MPO,Scottish National Championships,207.0,17.0,86
Jack Edgar,MA1,Scottish National Championships,209.0,18.0,84
Alan Davidson,MA1,Scottish National Championships,210.0,19.0,82
Thomas Wells,MA2,Scottish National Championships,210.0,19.0,82
Callum Taylor,MA1,Scottish National Championships,211.0,21.0,78
Cole Hamilton,MA1,Scottish National Championships,211.0,21.0,78
Tiffany Strandbygaard,FA1,Scottish National Championships,213.0,23.0,74
Trevor Bechtel,MA40,Scottish National Championships,213.0,23.0,74
Fergus McLean,MA1,Scottish National Championships,214.0,25.0,70
Lloyd Wells,MA40,Scottish National Championships,214.0,25.0,70
Kyle Roderick,MA2,Scottish National Championships,214.0,25.0,70
Harry Messenger,MA1,Scottish National Championships,215.0,28.0,63
Ben Bolton,MA1,Scottish National Championships,215.0,28.0,63
Nathan Cox,MA1,Scottish National Championships,217.0,30.0,60
David Wilson,MA40,Scottish National Championships,219.0,31.0,57
Callum Beattie,MA2,Scottish National Championships,226.0,32.0,56
Richard Beaumont,MA4,Scottish National Championships,395.0,33.0,54
Laura Fyfe,MA4,Scottish National Championships,412.0,34.0,51
Grant Lopes,MA4,Scottish National Championships,412.0,34.0,51
Tom Bowen,MA4,Scottish National Championships,418.0,36.0,48
Euan Pettitt,MA50,Scottish National Championships,422.0,37.0,45
Ritchie Gardner,MA3,Scottish National Championships,426.0,38.0,43
Richard Backhouse,MA3,Scottish National Championships,426.0,38.0,43
Duffy .,MA3,Scottish National Championships,427.0,40.0,39
Ross Brown,MA3,Scottish National Championships,428.0,41.0,37
John Hood,MA3,Scottish National Championships,431.0,42.0,36
Peter Morrison,MA3,Scottish National Championships,435.0,43.0,33
FRENCHIE .,MA50,Scottish National Championships,438.0,44.0,31
Callum Girdwood,MA3,Scottish National Championships,441.0,45.0,28
James Clark,MA3,Scottish National Championships,441.0,45.0,28
Ryan Junor,MA3,Scottish National Championships,442.0,47.0,25
Phil Kirby,MA3,Scottish National Championships,442.0,47.0,25
Peter Keightley,MA50,Scottish National Championships,443.0,49.0,21
Thomas Dunn,MA3,Scottish National Championships,448.0,50.0,19
Euan Boyle,MA3,Scottish National Championships,450.0,51.0,16
James Reddaway,MA3,Scottish National Championships,450.0,51.0,16
Eric Turton,MA60,Scottish National Championships,451.0,53.0,13
Taran Fiddes,MA3,Scottish National Championships,1998.0,54.0,10
Peter O'Brien,MA3,Scottish National Championships,1998.0,54.0,10
Kristopher Glen,MA4,Scottish National Championships,1998.0,54.0,10
Cammy Greig,MA4,Scottish National Championships,1998.0,54.0,10
Rowan Gower,MJ12,Scottish National Championships,1998.0,54.0,10
Maverick Beaumont,MJ08,Scottish National Championships,1998.0,54.0,10
Rick Rick,MPO,GGO: Glasgow GIAB Open 2023,141.0,1.0,100
Ashton Gade,MPO,GGO: Glasgow GIAB Open 2023,144.0,2.0,97
Chris Smith,MPO,GGO: Glasgow GIAB Open 2023,155.0,3.0,95
Rachel Turton,MPO,GGO: Glasgow GIAB Open 2023,158.0,4.0,93
Callum Taylor,MA2,GGO: Glasgow GIAB Open 2023,160.0,5.0,91
Sami Havuluoto,MPO,GGO: Glasgow GIAB Open 2023,162.0,6.0,89
Jester Wilson,MP40,GGO: Glasgow GIAB Open 2023,165.0,7.0,86
Graham McGill,MA40,GGO: Glasgow GIAB Open 2023,165.0,7.0,86
Alan Davidson,MA1,GGO: Glasgow GIAB Open 2023,166.0,9.0,82
Richard Backhouse,MA3,GGO: Glasgow GIAB Open 2023,166.0,9.0,82
Peter Dagen,MA1,GGO: Glasgow GIAB Open 2023,167.0,11.0,78
Fergus McLean,MA1,GGO: Glasgow GIAB Open 2023,167.0,11.0,78
Ben Heywood,MP40,GGO: Glasgow GIAB Open 2023,170.0,13.0,73
Stephen Coulter,MA1,GGO: Glasgow GIAB Open 2023,172.0,14.0,71
Patrick McCauley,MPO,GGO: Glasgow GIAB Open 2023,173.0,15.0,69
Ross MacSporran,MA1,GGO: Glasgow GIAB Open 2023,173.0,15.0,69
Thomas Wells,MA2,GGO: Glasgow GIAB Open 2023,176.0,17.0,64
Phil Kirby,MA3,GGO: Glasgow GIAB Open 2023,176.0,17.0,64
John Hood,MA3,GGO: Glasgow GIAB Open 2023,177.0,19.0,60
Benny Sood,MA2,GGO: Glasgow GIAB Open 2023,178.0,20.0,58
Peter Morrison,MA3,GGO: Glasgow GIAB Open 2023,178.0,20.0,58
Graham Robbie,MP40,GGO: Glasgow GIAB Open 2023,179.0,22.0,53
Alex Burton,MA3,GGO: Glasgow GIAB Open 2023,179.0,22.0,53
David Lindsay,MA1,GGO: Glasgow GIAB Open 2023,180.0,24.0,49
Paul Molloy,MA50,GGO: Glasgow GIAB Open 2023,180.0,24.0,49
Lloyd Wells,MA40,GGO: Glasgow GIAB Open 2023,181.0,26.0,45
Mauro Allietta,MA2,GGO: Glasgow GIAB Open 2023,181.0,26.0,45
Daniel Morgan,MA1,GGO: Glasgow GIAB Open 2023,182.0,28.0,40
FRENCHIE .,MA50,GGO: Glasgow GIAB Open 2023,183.0,29.0,38
Andrew Coulter,MA1,GGO: Glasgow GIAB Open 2023,184.0,30.0,36
Laura Fyfe,MA3,GGO: Glasgow GIAB Open 2023,186.0,31.0,34
Euan Boyle,MA3,GGO: Glasgow GIAB Open 2023,187.0,32.0,31
Jason Glen,MA3,GGO: Glasgow GIAB Open 2023,187.0,32.0,31
Peter Keightley,MA50,GGO: Glasgow GIAB Open 2023,188.0,34.0,27
Callum Beattie,MA2,GGO: Glasgow GIAB Open 2023,189.0,35.0,25
Tony Deebank,MA2,GGO: Glasgow GIAB Open 2023,190.0,36.0,23
Ross Brown,MA3,GGO: Glasgow GIAB Open 2023,192.0,37.0,20
Eric Turton,MA60,GGO: Glasgow GIAB Open 2023,201.0,38.0,18
Kristopher Glen,MA3,GGO: Glasgow GIAB Open 2023,201.0,38.0,18
Hugh Watson,MA50,GGO: Glasgow GIAB Open 2023,202.0,40.0,14
Mike Beard,MA3,GGO: Glasgow GIAB Open 2023,202.0,40.0,14
Leo Tan,MA3,GGO: Glasgow GIAB Open 2023,204.0,42.0,9
James Reddaway,MA3,GGO: Glasgow GIAB Open 2023,205.0,43.0,7
Domenico Gioda,MA40,GGO: Glasgow GIAB Open 2023,208.0,44.0,5
Brendan McCauley,MA50,GGO: Glasgow GIAB Open 2023,209.0,45.0,3
Seamus Scanlon,MA50,GGO: Glasgow GIAB Open 2023,1998.0,46.0,1
