Division ID,Rd1 Layout,Rd2 Layout,Rd3 Layout,Rd1 Last Hole Length,Rd2 Last Hole Length,Rd3 Last Hole Length,Place,Points,Name,PDGA Number,Rating,Par,Rd1,Rd2,Rd3,Rd1 Rating,Rd2 Rating,Rd3 Rating,Total,Event,Major
MA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,5.0,16.0,Alan Hogg,221136.0,816.0,+15,62.0,71.0,62.0,865.0,804.0,865.0,195.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,6.0,12.0,Jack Gibson,236462.0,794.0,+22,68.0,69.0,65.0,802.0,824.0,833.0,202.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,7.0,8.0,Patrick Grant,197778.0,798.0,+36,82.0,67.0,67.0,654.0,843.0,812.0,216.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,8.0,4.0,Pádraig Ó Gráda,237396.0,603.0,+75,80.0,93.0,82.0,675.0,588.0,654.0,255.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
FA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,1.0,10.0,Rachel Kane,187942.0,647.0,+57,78.0,79.0,80.0,696.0,725.0,675.0,237.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
FA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,2.0,8.0,Bronagh Murray,236950.0,654.0,+65,81.0,79.0,85.0,664.0,725.0,622.0,245.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
FA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,3.0,6.0,Aobh Sharvin,148934.0,561.0,+72,85.0,82.0,85.0,622.0,696.0,622.0,252.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
FA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,4.0,4.0,Corey Hanna,251491.0,,+113,103.0,99.0,91.0,432.0,529.0,559.0,293.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
FA2,60.0,60.0,60.0,1648.0,1648.0,1648.0,5.0,2.0,Clare Maguire,,,+157,112.0,108.0,117.0,337.0,440.0,284.0,337.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MPO,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,15.0,James Luton,8856.0,979.0,-15,56.0,55.0,60.0,984.0,1020.0,967.0,171.0,Farewell Fanmore ,0
MPO,62.0,62.0,62.0,5660.0,5660.0,5660.0,2.0,10.0,Pete Dawson,8870.0,970.0,-7,58.0,60.0,61.0,966.0,977.0,958.0,179.0,Farewell Fanmore ,0
MPO,62.0,62.0,62.0,5660.0,5660.0,5660.0,3.0,5.0,Ben Bolton,179709.0,861.0,+13,64.0,66.0,69.0,911.0,927.0,888.0,199.0,Farewell Fanmore ,0
MP40,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,4.0,Neal Pickett,8850.0,904.0,+29,70.0,72.0,73.0,856.0,876.0,854.0,215.0,Farewell Fanmore ,0
MP60,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,2.0,Charlie Mead,1980.0,866.0,+3,66.0,61.0,999.0,893.0,958.0,,127.0,Farewell Fanmore ,0
MA40,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,20.0,Trevor Bechtel,8805.0,901.0,+19,63.0,75.0,67.0,920.0,850.0,906.0,205.0,Farewell Fanmore ,0
MA40,62.0,62.0,62.0,5660.0,5660.0,5660.0,2.0,16.0,Lloyd Wells,201061.0,891.0,+23,69.0,70.0,70.0,865.0,893.0,880.0,209.0,Farewell Fanmore ,0
MA40,62.0,62.0,62.0,5660.0,5660.0,5660.0,3.0,12.0,David Wilson,203788.0,876.0,+27,71.0,75.0,67.0,847.0,850.0,906.0,213.0,Farewell Fanmore ,0
MA40,62.0,62.0,62.0,5660.0,5660.0,5660.0,4.0,8.0,Graham McGill,171402.0,890.0,+28,69.0,74.0,71.0,865.0,859.0,871.0,214.0,Farewell Fanmore ,0
MA40,62.0,62.0,62.0,5660.0,5660.0,5660.0,5.0,4.0,Michael McGowan,88187.0,867.0,+36,74.0,78.0,70.0,820.0,825.0,880.0,222.0,Farewell Fanmore ,0
MA50,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,18.0,John Gore,195461.0,888.0,+24,67.0,72.0,71.0,883.0,876.0,871.0,210.0,Farewell Fanmore ,0
MA50,62.0,62.0,62.0,5660.0,5660.0,5660.0,2.0,15.0,Richard Clegg,8828.0,830.0,+47,81.0,78.0,74.0,756.0,825.0,845.0,233.0,Farewell Fanmore ,0
MA50,62.0,62.0,62.0,5660.0,5660.0,5660.0,3.0,12.0,Tim Herring,8819.0,806.0,+48,75.0,82.0,77.0,810.0,791.0,819.0,234.0,Farewell Fanmore ,0
MA50,62.0,62.0,62.0,5660.0,5660.0,5660.0,4.0,9.0,Peter Keightley,146860.0,834.0,+51,77.0,81.0,79.0,792.0,800.0,801.0,237.0,Farewell Fanmore ,0
